PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	WILLIAMS, WT; KIKKAWA, J; MORRIS, DK								NUMERICAL STUDY OF AGONISTIC BEHAVIOR IN GREY-BREASTED SILVEREYE (ZOSTEROPS-LATERALIS)								ANIMAL BEHAVIOUR				20	FEB			155	&		10.1016/S0003-3472(72)80186-6			1972	1972										6							WOS:A1972N633200021		
J	GALLUP, GG; CUMMINGS, WH; NASH, RF								EXPERIMENTER AS AN INDEPENDENT VARIABLE IN STUDIES OF ANIMAL HYPNOSIS IN CHICKENS (GALLUS-GALLUS)								ANIMAL BEHAVIOUR				20	FEB			166	&		10.1016/S0003-3472(72)80187-8			1972	1972										110							WOS:A1972N633200022		
J	HARDELAND, R								SPECIES DIFFERENCES IN DIURNAL RHYTHMICITY OF COURTSHIP BEHAVIOR WITHIN MELANOGASTER GROUP OF GENUS DROSOPHILA								ANIMAL BEHAVIOUR				20	FEB			170	+		10.1016/S0003-3472(72)80188-X			1972	1972										74							WOS:A1972N633200023		
J	ALLIN, JT; BANKS, EM								FUNCTIONAL ASPECTS OF ULTRASOUND PRODUCTION BY INFANT ALBINO-RATS (RATTUS-NORVEGICUS)								ANIMAL BEHAVIOUR				20	FEB			175	&		10.1016/S0003-3472(72)80189-1			1972	1972										223							WOS:A1972N633200024		
J	HERBERG, LJ; BLUNDELL, JE; PYE, JG								SEX DIFFERENCES IN HYPOTHALAMIC REGULATION OF FOOD HOARDING - HORMONES VERSUS CALORIES								ANIMAL BEHAVIOUR				20	FEB			186	&		10.1016/S0003-3472(72)80190-8			1972	1972										45							WOS:A1972N633200025		
J	POTASH, LM								SIGNAL DETECTION PROBLEM AND POSSIBLE SOLUTION IN JAPANESE-QUAIL (COTURNIX-COTURNIX-JAPONICA)								ANIMAL BEHAVIOUR				20	FEB			192	&		10.1016/S0003-3472(72)80191-X			1972	1972										27							WOS:A1972N633200026		
J	LAMBERT, MRK								SOME FACTORS AFFECTING FLIGHT IN FIELD POPULATIONS OF AUSTRALIAN PLAGUE LOCUST, CHORTOICETES-TERMINIFERA (WALKER), IN NEW SOUTH-WALES								ANIMAL BEHAVIOUR				20	MAY			205	&		10.1016/S0003-3472(72)80037-X			1972	1972										14							WOS:A1972O031700001		
J	WIENS, JA								ANURAN HABITAT SELECTION - EARLY EXPERIENCE AND SUBSTRATE SELECTION IN RANA-CASCADAE TADPOLES								ANIMAL BEHAVIOUR				20	MAY			218	&		10.1016/S0003-3472(72)80038-1			1972	1972										30							WOS:A1972O031700002		
J	PORTER, RH; BERRYMAN, JC; FULLERTON, C								CLIFF DESCENT AS A MEASURE OF ATTACHMENT STRENGTH IN CHICKS								ANIMAL BEHAVIOUR				20	MAY			221	+		10.1016/S0003-3472(72)80039-3			1972	1972										4							WOS:A1972O031700003		
J	WEBBER, LA; EDMAN, JD								ANTI-MOSQUITO BEHAVIOR OF CICONIIFORM BIRDS								ANIMAL BEHAVIOUR				20	MAY			228	&		10.1016/S0003-3472(72)80040-X			1972	1972										49							WOS:A1972O031700004		
J	TAYLOR, DH								EXTRA-OPTIC PHOTORECEPTION AND COMPASS ORIENTATION IN LARVAL AND ADULT SALAMANDERS (AMBYSTOMA-TIGRINUM)								ANIMAL BEHAVIOUR				20	MAY			233	&		10.1016/S0003-3472(72)80041-1			1972	1972										32							WOS:A1972O031700005		
J	ALCOCK, J								OBSERVATIONS ON BEHAVIOR OF GRASSHOPPER TAENIOPODA-EQUES (BURMEISTER), ORTHOPTERA, ACRIDIDAE								ANIMAL BEHAVIOUR				20	MAY			237	&		10.1016/S0003-3472(72)80042-3			1972	1972										11							WOS:A1972O031700006		
